timestamp,state,x,z,roll_deg,pitch_deg,yaw_deg,left,center,right,top,bottom,cmd_vx,cmd_vz,cmd_roll,cmd_yaw
2026-05-11 15:56:45.204700,SEARCHING,0.000,0.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0.700,0.000,0.000,0.000
2026-05-11 15:56:46.455894,SEARCHING,0.000,1.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0.700,0.000,0.000,0.000
2026-05-11 15:56:46.655314,SEARCHING,0.105,1.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0.700,0.000,0.000,0.000
2026-05-11 15:56:46.872881,SEARCHING,0.245,1.000,0.00,0.00,0.00,10.000,10.000,10.000,10.000,10.000,0.700,0.000,0.000,0.000
2026-05-11 15:56:47.103806,SEARCHING,0.385,1.000,0.00,0.00,1.15,1.876,3.051,1.017,3.092,2.460,0.700,0.050,0.203,0.405
2026-05-11 15:56:47.327743,SEARCHING,0.525,1.000,0.00,0.00,5.88,1.733,2.630,7.627,2.600,2.434,0.700,0.016,-0.201,-0.401
2026-05-11 15:56:47.538743,SEARCHING,0.664,1.000,0.00,0.00,3.65,1.611,2.335,6.730,2.335,2.311,0.700,0.003,-0.212,-0.425
2026-05-11 15:56:47.752447,SEARCHING,0.804,1.000,0.00,0.00,-1.23,1.578,2.692,6.184,2.661,2.335,0.700,0.031,-0.212,-0.425
2026-05-11 15:56:47.962050,SEARCHING,0.944,1.000,0.00,0.00,-6.05,1.658,3.011,5.085,2.972,2.434,0.700,0.045,-0.183,-0.366
2026-05-11 15:56:48.164376,SEARCHING,1.082,1.000,0.00,0.00,-10.14,1.860,5.321,4.160,5.321,2.099,0.700,0.173,-0.134,-0.267
2026-05-11 15:56:48.397492,SEARCHING,1.219,1.000,0.00,0.00,-13.24,1.939,6.022,3.878,5.720,2.243,0.700,0.163,-0.116,-0.232
2026-05-11 15:56:48.628624,SEARCHING,1.355,1.000,0.00,0.00,-15.70,2.061,6.356,3.751,6.022,2.384,0.700,0.152,-0.098,-0.197
2026-05-11 15:56:48.831918,SEARCHING,1.489,1.000,0.00,0.00,-17.83,2.200,7.151,3.520,4.400,2.434,0.700,0.110,-0.077,-0.153
2026-05-11 15:56:49.062255,SEARCHING,1.622,1.000,0.00,0.00,-19.41,2.460,6.356,3.269,6.022,2.460,0.700,0.144,-0.045,-0.090
2026-05-11 15:56:49.277820,SEARCHING,1.753,1.000,0.00,0.00,-20.44,2.460,6.356,3.269,6.022,2.460,0.700,0.144,-0.045,-0.090
2026-05-11 15:56:49.492104,SEARCHING,1.884,1.000,0.00,0.00,-21.48,2.460,6.356,3.269,6.022,2.460,0.700,0.144,-0.045,-0.090
2026-05-11 15:56:49.716015,SEARCHING,2.014,1.000,0.00,0.00,-22.52,2.460,6.356,3.269,6.022,2.460,0.700,0.144,-0.045,-0.090
2026-05-11 15:56:49.918701,SEARCHING,2.143,1.000,0.00,0.00,-23.55,2.460,6.356,3.269,6.022,2.460,0.700,0.144,-0.045,-0.090
2026-05-11 15:56:50.145057,SEARCHING,2.271,1.000,0.00,0.00,-24.59,2.460,6.356,3.269,6.022,2.460,0.700,0.144,-0.045,-0.090
2026-05-11 15:56:50.379618,SEARCHING,2.398,1.000,0.00,0.00,-25.63,2.460,6.356,3.269,6.022,2.460,0.700,0.144,-0.045,-0.090
2026-05-11 15:56:50.605107,SEARCHING,2.523,1.000,0.00,0.00,-26.66,2.460,6.356,3.269,6.022,2.460,0.700,0.144,-0.045,-0.090
2026-05-11 15:56:50.819884,SEARCHING,2.648,1.000,0.00,0.00,-27.70,2.460,6.356,3.269,6.022,2.460,0.700,0.144,-0.045,-0.090
2026-05-11 15:56:51.036196,SEARCHING,2.771,1.000,0.00,0.00,-28.74,2.460,6.356,3.269,6.022,2.460,0.700,0.144,-0.045,-0.090
2026-05-11 15:56:51.273536,SEARCHING,2.924,1.000,0.00,0.00,-30.03,2.460,6.356,3.269,6.022,2.460,0.700,0.144,-0.045,-0.090
